"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes"
"2018 General Election","ERIE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","58,906","0","0"
"2018 General Election","ERIE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","40,348","0","0"
"2018 General Election","ERIE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","611","0","0"
"2018 General Election","ERIE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,024","0","0"
"2018 General Election","ERIE","Governor","Statewide","Democratic","WOLF, THOMAS W ","60,790","0","0"
"2018 General Election","ERIE","Governor","Statewide","Republican","WAGNER, SCOTT R ","39,387","0","0"
"2018 General Election","ERIE","Governor","Statewide","Green","GLOVER, PAUL ","605","0","0"
"2018 General Election","ERIE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","929","0","0"
"2018 General Election","ERIE","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","60,392","0","0"
"2018 General Election","ERIE","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","40,470","0","0"
"2018 General Election","ERIE","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","940","0","0"
"2018 General Election","FAYETTE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","19,523","0","0"
"2018 General Election","FAYETTE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","20,484","0","0"
"2018 General Election","FAYETTE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","200","0","0"
"2018 General Election","FAYETTE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","426","0","0"
"2018 General Election","FAYETTE","Governor","Statewide","Democratic","WOLF, THOMAS W ","19,759","0","0"
"2018 General Election","FAYETTE","Governor","Statewide","Republican","WAGNER, SCOTT R ","20,442","0","0"
"2018 General Election","FAYETTE","Governor","Statewide","Green","GLOVER, PAUL ","263","0","0"
"2018 General Election","FAYETTE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","383","0","0"
"2018 General Election","FAYETTE","Representative in Congress","14th Congressional District","Democratic","BOERIO, BIBIANA ","17,076","0","0"
"2018 General Election","FAYETTE","Representative in Congress","14th Congressional District","Republican","RESCHENTHALER, GUY L ","23,148","0","0"
"2018 General Election","FOREST","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","693","0","0"
"2018 General Election","FOREST","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","1,201","0","0"
"2018 General Election","FOREST","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","14","0","0"
"2018 General Election","FOREST","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","24","0","0"
"2018 General Election","FOREST","Governor","Statewide","Democratic","WOLF, THOMAS W ","746","0","0"
"2018 General Election","FOREST","Governor","Statewide","Republican","WAGNER, SCOTT R ","1,159","0","0"
"2018 General Election","FOREST","Governor","Statewide","Green","GLOVER, PAUL ","14","0","0"
"2018 General Election","FOREST","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","19","0","0"
"2018 General Election","FOREST","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","564","0","0"
"2018 General Election","FOREST","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","1,364","0","0"
"2018 General Election","FRANKLIN","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","17,385","0","0"
"2018 General Election","FRANKLIN","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","36,735","0","0"
"2018 General Election","FRANKLIN","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","335","0","0"
"2018 General Election","FRANKLIN","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","572","0","0"
"2018 General Election","FRANKLIN","Governor","Statewide","Democratic","WOLF, THOMAS W ","18,447","0","0"
"2018 General Election","FRANKLIN","Governor","Statewide","Republican","WAGNER, SCOTT R ","35,634","0","0"
"2018 General Election","FRANKLIN","Governor","Statewide","Green","GLOVER, PAUL ","316","0","0"
"2018 General Election","FRANKLIN","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","525","0","0"
"2018 General Election","FRANKLIN","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","15,583","0","0"
"2018 General Election","FRANKLIN","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","39,068","0","0"
"2018 General Election","FULTON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","1,068","0","0"
"2018 General Election","FULTON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","4,193","0","0"
"2018 General Election","FULTON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","27","0","0"
"2018 General Election","FULTON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","43","0","0"
"2018 General Election","FULTON","Governor","Statewide","Democratic","WOLF, THOMAS W ","1,047","0","0"
"2018 General Election","FULTON","Governor","Statewide","Republican","WAGNER, SCOTT R ","4,219","0","0"
"2018 General Election","FULTON","Governor","Statewide","Green","GLOVER, PAUL ","18","0","0"
"2018 General Election","FULTON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","39","0","0"
"2018 General Election","FULTON","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","888","0","0"
"2018 General Election","FULTON","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","4,387","0","0"
"2018 General Election","GREENE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","5,819","0","0"
"2018 General Election","GREENE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","6,422","0","0"
"2018 General Election","GREENE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","72","0","0"
"2018 General Election","GREENE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","115","0","0"
"2018 General Election","GREENE","Governor","Statewide","Democratic","WOLF, THOMAS W ","5,844","0","0"
"2018 General Election","GREENE","Governor","Statewide","Republican","WAGNER, SCOTT R ","6,381","0","0"
"2018 General Election","GREENE","Governor","Statewide","Green","GLOVER, PAUL ","108","0","0"
"2018 General Election","GREENE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","115","0","0"
"2018 General Election","GREENE","Representative in Congress","14th Congressional District","Democratic","BOERIO, BIBIANA ","4,718","0","0"
"2018 General Election","GREENE","Representative in Congress","14th Congressional District","Republican","RESCHENTHALER, GUY L ","6,941","0","0"
"2018 General Election","HUNTINGDON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","5,126","0","0"
"2018 General Election","HUNTINGDON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","10,491","0","0"
"2018 General Election","HUNTINGDON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","108","0","0"
"2018 General Election","HUNTINGDON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","186","0","0"
"2018 General Election","HUNTINGDON","Governor","Statewide","Democratic","WOLF, THOMAS W ","5,037","0","0"
"2018 General Election","HUNTINGDON","Governor","Statewide","Republican","WAGNER, SCOTT R ","10,586","0","0"
"2018 General Election","HUNTINGDON","Governor","Statewide","Green","GLOVER, PAUL ","101","0","0"
"2018 General Election","HUNTINGDON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","177","0","0"
"2018 General Election","HUNTINGDON","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","4,246","0","0"
"2018 General Election","HUNTINGDON","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","11,570","0","0"
"2018 General Election","INDIANA","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","12,702","0","0"
"2018 General Election","INDIANA","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","16,314","0","0"
"2018 General Election","INDIANA","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","189","0","0"
"2018 General Election","INDIANA","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","338","0","0"
"2018 General Election","INDIANA","Governor","Statewide","Democratic","WOLF, THOMAS W ","12,715","0","0"
"2018 General Election","INDIANA","Governor","Statewide","Republican","WAGNER, SCOTT R ","16,179","0","0"
"2018 General Election","INDIANA","Governor","Statewide","Green","GLOVER, PAUL ","213","0","0"
"2018 General Election","INDIANA","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","289","0","0"
"2018 General Election","INDIANA","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","11,211","0","0"
"2018 General Election","INDIANA","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","18,053","0","0"
"2018 General Election","JEFFERSON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","4,437","0","0"
"2018 General Election","JEFFERSON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","10,872","0","0"
"2018 General Election","JEFFERSON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","100","0","0"
"2018 General Election","JEFFERSON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","167","0","0"
"2018 General Election","JEFFERSON","Governor","Statewide","Democratic","WOLF, THOMAS W ","4,277","0","0"
"2018 General Election","JEFFERSON","Governor","Statewide","Republican","WAGNER, SCOTT R ","11,036","0","0"
"2018 General Election","JEFFERSON","Governor","Statewide","Green","GLOVER, PAUL ","88","0","0"
"2018 General Election","JEFFERSON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","173","0","0"
"2018 General Election","JEFFERSON","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,358","0","0"
"2018 General Election","JEFFERSON","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","12,214","0","0"
"2018 General Election","JUNIATA","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","2,412","0","0"
"2018 General Election","JUNIATA","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","5,853","0","0"
"2018 General Election","JUNIATA","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","87","0","0"
"2018 General Election","JUNIATA","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","116","0","0"
"2018 General Election","JUNIATA","Governor","Statewide","Democratic","WOLF, THOMAS W ","2,550","0","0"
"2018 General Election","JUNIATA","Governor","Statewide","Republican","WAGNER, SCOTT R ","5,780","0","0"
"2018 General Election","JUNIATA","Governor","Statewide","Green","GLOVER, PAUL ","62","0","0"
"2018 General Election","JUNIATA","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","101","0","0"
"2018 General Election","JUNIATA","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","1,808","0","0"
"2018 General Election","JUNIATA","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","6,614","0","0"
"2018 General Election","LACKAWANNA","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","51,444","0","0"
"2018 General Election","LACKAWANNA","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","31,922","0","0"
"2018 General Election","LACKAWANNA","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","402","0","0"
"2018 General Election","LACKAWANNA","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","488","0","0"
"2018 General Election","LACKAWANNA","Governor","Statewide","Democratic","WOLF, THOMAS W ","54,237","0","0"
"2018 General Election","LACKAWANNA","Governor","Statewide","Republican","WAGNER, SCOTT R ","28,616","0","0"
"2018 General Election","LACKAWANNA","Governor","Statewide","Green","GLOVER, PAUL ","436","0","0"
"2018 General Election","LACKAWANNA","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","624","0","0"
"2018 General Election","LACKAWANNA","Representative in Congress","8th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","53,467","0","0"
"2018 General Election","LACKAWANNA","Representative in Congress","8th Congressional District","Republican","CHRIN, JOHN ROBERT ","30,361","0","0"
"2018 General Election","LANCASTER","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","90,052","0","0"
"2018 General Election","LANCASTER","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","107,170","0","0"
"2018 General Election","LANCASTER","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","1,396","0","0"
"2018 General Election","LANCASTER","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","2,963","0","0"
"2018 General Election","LANCASTER","Governor","Statewide","Democratic","WOLF, THOMAS W ","95,692","0","0"
"2018 General Election","LANCASTER","Governor","Statewide","Republican","WAGNER, SCOTT R ","101,969","0","0"
"2018 General Election","LANCASTER","Governor","Statewide","Green","GLOVER, PAUL ","1,112","0","0"
"2018 General Election","LANCASTER","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","2,822","0","0"
"2018 General Election","LANCASTER","Representative in Congress","11th Congressional District","Democratic","KING, JESSICA ","88,560","0","0"
"2018 General Election","LANCASTER","Representative in Congress","11th Congressional District","Republican","SMUCKER, LLOYD K ","113,442","0","0"
"2018 General Election","LAWRENCE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","14,289","0","0"
"2018 General Election","LAWRENCE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","17,352","0","0"
"2018 General Election","LAWRENCE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","149","0","0"
"2018 General Election","LAWRENCE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","298","0","0"
"2018 General Election","LAWRENCE","Governor","Statewide","Democratic","WOLF, THOMAS W ","15,010","0","0"
"2018 General Election","LAWRENCE","Governor","Statewide","Republican","WAGNER, SCOTT R ","16,691","0","0"
"2018 General Election","LAWRENCE","Governor","Statewide","Green","GLOVER, PAUL ","201","0","0"
"2018 General Election","LAWRENCE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","290","0","0"
"2018 General Election","LAWRENCE","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","13,518","0","0"
"2018 General Election","LAWRENCE","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","18,221","0","0"
"2018 General Election","LAWRENCE","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","362","0","0"
"2018 General Election","LEBANON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","18,368","0","0"
"2018 General Election","LEBANON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","29,836","0","0"
"2018 General Election","LEBANON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","343","0","0"
"2018 General Election","LEBANON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","602","0","0"
"2018 General Election","LEBANON","Governor","Statewide","Democratic","WOLF, THOMAS W ","20,159","0","0"
"2018 General Election","LEBANON","Governor","Statewide","Republican","WAGNER, SCOTT R ","28,096","0","0"
"2018 General Election","LEBANON","Governor","Statewide","Green","GLOVER, PAUL ","255","0","0"
"2018 General Election","LEBANON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","598","0","0"
"2018 General Election","LEBANON","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","17,452","0","0"
"2018 General Election","LEBANON","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","31,358","0","0"
"2018 General Election","LEHIGH","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","73,632","0","0"
"2018 General Election","LEHIGH","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","52,576","0","0"
"2018 General Election","LEHIGH","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","818","0","0"
"2018 General Election","LEHIGH","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,412","0","0"
"2018 General Election","LEHIGH","Governor","Statewide","Democratic","WOLF, THOMAS W ","77,248","0","0"
"2018 General Election","LEHIGH","Governor","Statewide","Republican","WAGNER, SCOTT R ","49,071","0","0"
"2018 General Election","LEHIGH","Governor","Statewide","Green","GLOVER, PAUL ","802","0","0"
"2018 General Election","LEHIGH","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","1,485","0","0"
"2018 General Election","LEHIGH","Representative in Congress","7th Congressional District","Democratic","WILD, SUSAN ELLIS ","70,000","0","0"
"2018 General Election","LEHIGH","Representative in Congress","7th Congressional District","Republican","NOTHSTEIN, MARTIN W ","54,354","0","0"
"2018 General Election","LEHIGH","Representative in Congress","7th Congressional District","Libertarian","SILFIES, TIM ","4,193","0","0"
"2018 General Election","LUZERNE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","49,200","0","0"
"2018 General Election","LUZERNE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","58,040","0","0"
"2018 General Election","LUZERNE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","497","0","0"
"2018 General Election","LUZERNE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","559","0","0"
"2018 General Election","LUZERNE","Governor","Statewide","Democratic","WOLF, THOMAS W ","55,734","0","0"
"2018 General Election","LUZERNE","Governor","Statewide","Republican","WAGNER, SCOTT R ","50,701","0","0"
"2018 General Election","LUZERNE","Governor","Statewide","Green","GLOVER, PAUL ","562","0","0"
"2018 General Election","LUZERNE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","826","0","0"
"2018 General Election","LUZERNE","Representative in Congress","8th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","46,780","0","0"
"2018 General Election","LUZERNE","Representative in Congress","8th Congressional District","Republican","CHRIN, JOHN ROBERT ","41,856","0","0"
"2018 General Election","LUZERNE","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","6,774","0","0"
"2018 General Election","LUZERNE","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","12,065","0","0"
"2018 General Election","LYCOMING","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","13,893","0","0"
"2018 General Election","LYCOMING","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","26,488","0","0"
"2018 General Election","LYCOMING","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","252","0","0"
"2018 General Election","LYCOMING","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","447","0","0"
"2018 General Election","LYCOMING","Governor","Statewide","Democratic","WOLF, THOMAS W ","14,727","0","0"
"2018 General Election","LYCOMING","Governor","Statewide","Republican","WAGNER, SCOTT R ","25,570","0","0"
"2018 General Election","LYCOMING","Governor","Statewide","Green","GLOVER, PAUL ","275","0","0"
"2018 General Election","LYCOMING","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","453","0","0"
"2018 General Election","LYCOMING","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","12,063","0","0"
"2018 General Election","LYCOMING","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","28,866","0","0"
"2018 General Election","McKEAN","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","3,972","0","0"
"2018 General Election","McKEAN","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","8,285","0","0"
"2018 General Election","McKEAN","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","64","0","0"
"2018 General Election","McKEAN","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","133","0","0"
"2018 General Election","McKEAN","Governor","Statewide","Democratic","WOLF, THOMAS W ","3,899","0","0"
"2018 General Election","McKEAN","Governor","Statewide","Republican","WAGNER, SCOTT R ","8,512","0","0"
"2018 General Election","McKEAN","Governor","Statewide","Green","GLOVER, PAUL ","78","0","0"
"2018 General Election","McKEAN","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","104","0","0"
"2018 General Election","McKEAN","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,489","0","0"
"2018 General Election","McKEAN","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","9,064","0","0"
"2018 General Election","MERCER","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","18,136","0","0"
"2018 General Election","MERCER","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","22,290","0","0"
"2018 General Election","MERCER","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","232","0","0"
"2018 General Election","MERCER","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","439","0","0"
"2018 General Election","MERCER","Governor","Statewide","Democratic","WOLF, THOMAS W ","18,200","0","0"
"2018 General Election","MERCER","Governor","Statewide","Republican","WAGNER, SCOTT R ","22,211","0","0"
"2018 General Election","MERCER","Governor","Statewide","Green","GLOVER, PAUL ","276","0","0"
"2018 General Election","MERCER","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","413","0","0"
"2018 General Election","MERCER","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","17,842","0","0"
"2018 General Election","MERCER","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","22,799","0","0"
"2018 General Election","MERCER","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","521","0","0"
"2018 General Election","MIFFLIN","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","4,193","0","0"
"2018 General Election","MIFFLIN","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","9,960","0","0"
"2018 General Election","MIFFLIN","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","91","0","0"
"2018 General Election","MIFFLIN","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","179","0","0"
"2018 General Election","MIFFLIN","Governor","Statewide","Democratic","WOLF, THOMAS W ","4,412","0","0"
"2018 General Election","MIFFLIN","Governor","Statewide","Republican","WAGNER, SCOTT R ","9,778","0","0"
"2018 General Election","MIFFLIN","Governor","Statewide","Green","GLOVER, PAUL ","85","0","0"
"2018 General Election","MIFFLIN","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","138","0","0"
"2018 General Election","MIFFLIN","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","3,346","0","0"
"2018 General Election","MIFFLIN","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","10,962","0","0"
"2018 General Election","MONROE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","30,626","0","0"
"2018 General Election","MONROE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","23,967","0","0"
"2018 General Election","MONROE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","360","0","0"
"2018 General Election","MONROE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","458","0","0"
"2018 General Election","MONROE","Governor","Statewide","Democratic","WOLF, THOMAS W ","32,064","0","0"
"2018 General Election","MONROE","Governor","Statewide","Republican","WAGNER, SCOTT R ","22,529","0","0"
"2018 General Election","MONROE","Governor","Statewide","Green","GLOVER, PAUL ","362","0","0"
"2018 General Election","MONROE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","481","0","0"
"2018 General Election","MONROE","Representative in Congress","7th Congressional District","Democratic","WILD, SUSAN ELLIS ","10,914","0","0"
"2018 General Election","MONROE","Representative in Congress","7th Congressional District","Republican","NOTHSTEIN, MARTIN W ","7,829","0","0"
"2018 General Election","MONROE","Representative in Congress","7th Congressional District","Libertarian","SILFIES, TIM ","353","0","0"
"2018 General Election","MONROE","Representative in Congress","8th Congressional District","Democratic","CARTWRIGHT, MATTHEW ALTON ","18,335","0","0"
"2018 General Election","MONROE","Representative in Congress","8th Congressional District","Republican","CHRIN, JOHN ROBERT ","15,156","0","0"
"2018 General Election","MONTGOMERY","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","246,779","0","0"
"2018 General Election","MONTGOMERY","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","126,373","0","0"
"2018 General Election","MONTGOMERY","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","2,291","0","0"
"2018 General Election","MONTGOMERY","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","3,418","0","0"
"2018 General Election","MONTGOMERY","Governor","Statewide","Democratic","WOLF, THOMAS W ","254,985","0","0"
"2018 General Election","MONTGOMERY","Governor","Statewide","Republican","WAGNER, SCOTT R ","119,975","0","0"
"2018 General Election","MONTGOMERY","Governor","Statewide","Green","GLOVER, PAUL ","1,722","0","0"
"2018 General Election","MONTGOMERY","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","3,237","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","1st Congressional District","Democratic","WALLACE, HENRY SCOTT ","19,130","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","1st Congressional District","Republican","FITZPATRICK, BRIAN K ","16,550","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","4th Congressional District","Democratic","DEAN CUNNANE , MADELEINE ","207,381","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","4th Congressional District","Republican","DAVID, DANIEL ","116,954","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","5th Congressional District","Democratic","SCANLON, MARY GAY ","13,888","0","0"
"2018 General Election","MONTGOMERY","Representative in Congress","5th Congressional District","Republican","KIM, PEARL ","3,884","0","0"
"2018 General Election","MONTOUR","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","2,963","0","0"
"2018 General Election","MONTOUR","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","3,943","0","0"
"2018 General Election","MONTOUR","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","52","0","0"
"2018 General Election","MONTOUR","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","73","0","0"
"2018 General Election","MONTOUR","Governor","Statewide","Democratic","WOLF, THOMAS W ","3,224","0","0"
"2018 General Election","MONTOUR","Governor","Statewide","Republican","WAGNER, SCOTT R ","3,642","0","0"
"2018 General Election","MONTOUR","Governor","Statewide","Green","GLOVER, PAUL ","48","0","0"
"2018 General Election","MONTOUR","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","97","0","0"
"2018 General Election","MONTOUR","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","3,076","0","0"
"2018 General Election","MONTOUR","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","3,915","0","0"
"2018 General Election","NORTHAMPTON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","62,275","0","0"
"2018 General Election","NORTHAMPTON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","50,385","0","0"
"2018 General Election","NORTHAMPTON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","714","0","0"
"2018 General Election","NORTHAMPTON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,242","0","0"
"2018 General Election","NORTHAMPTON","Governor","Statewide","Democratic","WOLF, THOMAS W ","65,749","0","0"
"2018 General Election","NORTHAMPTON","Governor","Statewide","Republican","WAGNER, SCOTT R ","47,527","0","0"
"2018 General Election","NORTHAMPTON","Governor","Statewide","Green","GLOVER, PAUL ","635","0","0"
"2018 General Election","NORTHAMPTON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","1,211","0","0"
"2018 General Election","NORTHAMPTON","Representative in Congress","7th Congressional District","Democratic","WILD, SUSAN ELLIS ","59,393","0","0"
"2018 General Election","NORTHAMPTON","Representative in Congress","7th Congressional District","Republican","NOTHSTEIN, MARTIN W ","51,888","0","0"
"2018 General Election","NORTHAMPTON","Representative in Congress","7th Congressional District","Libertarian","SILFIES, TIM ","3,450","0","0"
"2018 General Election","NORTHUMBERLAND","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","10,401","0","0"
"2018 General Election","NORTHUMBERLAND","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","17,603","0","0"
"2018 General Election","NORTHUMBERLAND","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","143","0","0"
"2018 General Election","NORTHUMBERLAND","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","281","0","0"
"2018 General Election","NORTHUMBERLAND","Governor","Statewide","Democratic","WOLF, THOMAS W ","12,126","0","0"
